대피소명,주소,위도,경도,유형
KT 디액션_신창시장점,서울 도봉구 덕릉로 239 1층 1호 (창동),37.639159804755884,127.0382531449967,기후동행쉼터
KT (주)에이치커넥션 미아역점,서울 강북구 도봉로 178 1층 KT (미아동),37.624718933745385,127.02715625599998,기후동행쉼터
KT (주)에이치커넥션 창동역점,"서울 도봉구 마들로11길 71 1층 103호 104호 (창동, 신한빌딩)",37.65333579677252,127.04932937200562,기후동행쉼터
KT (주)에이치커넥션 노원역점,"서울 노원구 동일로 1390 1층 KT (상계동, 상계주공6단지아파트)",37.65271809976822,127.0615199550052,기후동행쉼터
KT (주)에이치커넥션 창동본점,서울 도봉구 노해로63길 84 (창동),37.65276551776888,127.04657612799619,기후동행쉼터
KT (주)에이치커넥션 먹골역점,서울 중랑구 공릉로2길 8-4 칼튼테라스 105호 (묵동),37.61180694872768,127.07823794499802,기후동행쉼터
KT (주)에이치커넥션 방학역점,서울 도봉구 도봉로 689 (방학동),37.665998960781494,127.04263116399775,기후동행쉼터
KT (주)세븐업_경기북부_노원역점,"서울 노원구 노해로 488 102호 KT 매장 (상계동, 일서빌딩)",37.654335602771305,127.06216917699724,기후동행쉼터
KT (주)세븐업_경기북부_공릉역점,"서울 노원구 동일로 1077 1층 (공릉동, 스테이션빌딩)",37.626051633743856,127.07243747200118,기후동행쉼터
KT (주)세븐업_경기북부_수유역점,서울 강북구 도봉로 339 1층 (수유동),37.63819725875118,127.02543485000366,기후동행쉼터
KT 도다텔_은평뉴타운점,"서울 은평구 진관3로 21 101동 116호, kt매장 (진관동, 은평뉴타운엘크루)",37.639606219759834,126.91900684099505,기후동행쉼터
KT 하이팀_구산역점,"서울 은평구 서오릉로 139 1층 KT (역촌동, 주영빌딩)",37.61084566472937,126.9174927039969,기후동행쉼터
KT 하이팀_연신내센트럴점,서울 은평구 통일로 855-13 1층 KT (갈현동),37.61918527573272,126.91988520100102,기후동행쉼터
KT 하이팀_역촌역점,서울 은평구 진흥로 105 1층 KT (역촌동),37.60630185971731,126.92253984399719,기후동행쉼터
KT 하이팀_응암시장점,서울 은평구 응암로 247 1층 KT대리점 (응암동),37.5941954657112,126.91785230499451,기후동행쉼터
KT 하이팀_범서점,"서울 은평구 통일로 842 1층 (불광동, 범서빌딩)",37.61869690373422,126.92205955099712,기후동행쉼터
KT 하이팀_망원시장점,"서울 마포구 망원로 81, kt매장 (망원동)",37.557672705673774,126.90582661199582,기후동행쉼터
KT 엠에이치플러스_연신내점,서울 은평구 연서로 278 상가 (불광동),37.62074906673598,126.92538789399703,기후동행쉼터
KT (주)에스비트_녹번역점,"서울 은평구 은평로 240 상가 1층 318호 KT (응암동, 힐스테이트녹번역)",37.60062410171794,126.93465181999954,기후동행쉼터
KT HJY연신내역점,서울 은평구 연서로 228 상가주택 1층 (대조동),37.618498035735925,126.92068341999713,기후동행쉼터
KT (주)더블이에이치_합정메세나점,"서울 마포구 양화로 45 메세나폴리스 상가 지하1층 B148호, kt매장",37.55076109666371,126.91420061699714,기후동행쉼터
