대피소명,주소,위도,경도,유형
청운효자동주민센터,서울특별시 종로구 자하문로 92,37.5840952,126.9706558,한파쉼터
세종마을경로당,서울특별시 종로구 자하문로11길 33,37.5803712,126.9699155,한파쉼터
사직동주민센터,서울특별시 종로구 경희궁1길 15,37.571394,126.9706517,한파쉼터
사직경로당,서울특별시 종로구 사직로9길 15-25 ,37.5764535,126.9655864,한파쉼터
삼청동주민센터,서울특별시 종로구 삼청로 107,37.5849943,126.9817601,한파쉼터
복정경로당,서울특별시 종로구 삼청로4길 22,37.5823969,126.9821249,한파쉼터
부암동주민센터,서울특별시 종로구 창의문로 145,37.5924354,126.9640763,한파쉼터
신영경로당,서울특별시 종로구 세검정로6길 76-19 ,37.601291,126.9636445,한파쉼터
평창동주민센터,서울특별시 종로구 평창문화로 65,37.6063867,126.9683786,한파쉼터
평창경로당,서울특별시 종로구 평창문화로 48,37.6053178,126.9669154,한파쉼터
무악동주민센터,서울특별시 종로구 통일로14길 36,37.5760029,126.9582278,한파쉼터
무악제2경로당,서울특별시 종로구 통일로 246-11 ,37.575735,126.9583283,한파쉼터
교남동주민센터,서울특별시 종로구 송월길 154,37.571916,126.961963,한파쉼터
행촌경로당,서울특별시 종로구 인왕산로1길 58,37.5753864,126.9630088,한파쉼터
가회동주민센터,서울특별시 종로구 북촌로 35,37.5800566,126.9848044,한파쉼터
북촌경로당,서울특별시 종로구 북촌로 20-27 ,37.5789115,126.9858728,한파쉼터
구청사,서울특별시 종로구 종로1길 36,37.573505,126.9789867,한파쉼터
종로1234가동주민센터,서울특별시 종로구 삼일대로30길 47,37.5744316,126.9902611,한파쉼터
운니경로당,서울특별시 종로구 삼일대로32길 51,37.5756351,126.9898416,한파쉼터
종로56가동주민센터,서울특별시 종로구 종로35가길 19,37.5720325,127.0050427,한파쉼터
종로56가경로당,서울특별시 종로구 종로35가길 19,37.5720368,127.0050402,한파쉼터
이화동주민센터,서울특별시 종로구 이화장길 33,37.5769944,127.0043569,한파쉼터
이화경로당,서울특별시 종로구 이화장1나길 15,37.5777353,127.0067503,한파쉼터
혜화동주민센터,서울특별시 종로구 혜화로 12,37.5869073,127.000608,한파쉼터
유림경로당,서울특별시 종로구 성균관로5길 25-13 ,37.5844736,126.996928,한파쉼터
창신1동주민센터,서울특별시 종로구 지봉로 8-6 ,37.5707222,127.016374,한파쉼터
당고개경로당,서울특별시 종로구 종로53길 29,37.5736793,127.0132278,한파쉼터
창신2동주민센터,서울특별시 종로구 창신길 62,37.5744319,127.0108835,한파쉼터
창인경로당,서울특별시 종로구 낙산성곽동길 70-3 ,37.5786855,127.0089349,한파쉼터
창신3동주민센터,서울특별시 종로구 지봉로 87,37.577933,127.0146842,한파쉼터
온고회경로당,서울특별시 종로구 지봉로13길 14,37.578978,127.014694,한파쉼터
숭인1동주민센터,서울특별시 종로구 지봉로 86,37.5778352,127.0156364,한파쉼터
숭인상록경로당,서울특별시 종로구 지봉로 86,37.5778544,127.0155814,한파쉼터
흥인경로당,서울특별시 종로구 숭인동길 78-8 ,37.578254,127.0222011,한파쉼터
숭인2동주민센터,서울특별시 종로구 종로65길 10,37.5748698,127.0199896,한파쉼터
소공동 주민센터,서울특별시 중구 남대문로1길 31-5 ,37.5624004,126.977013,한파쉼터
회현체육센터,서울특별시 중구 퇴계로12길 78,37.5561479,126.9816295,한파쉼터
회현동 주민센터,서울특별시 중구 퇴계로8길 46,37.5572999,126.9794086,한파쉼터
회현경로당,서울특별시 중구 퇴계로12길 89,37.5558275,126.9819701,한파쉼터
명동 주민센터,서울특별시 중구 퇴계로20길 3,37.5600544,126.9858025,한파쉼터
명동경로당,서울특별시 중구 퇴계로20길 25-26 ,37.558995,126.9863726,한파쉼터
필동주민센터,서울특별시 중구 퇴계로36길 42,37.5601546,126.9955807,한파쉼터
필동경로당,서울특별시 중구 필동로 11,37.5605451,126.9962394,한파쉼터
장충경로당,서울특별시 중구 동호로25길 38,37.5594476,127.0015723,한파쉼터
공원장충경로당,서울특별시 중구 동호로 257-8 ,37.558511,127.003887,한파쉼터
장충동 주민센터,서울특별시 중구 장충단로8길 22,37.5619114,127.0078704,한파쉼터
중구 구민회관,서울특별시 중구 을지로39길 40,37.5686023,127.0061091,한파쉼터
중구청 ,서울특별시 중구 창경궁로 17,37.5637821,126.9980697,한파쉼터
묵정경로당,서울특별시 중구 퇴계로45길 32-12 ,37.56388,126.999734,한파쉼터
광희경로당,서울특별시 중구 퇴계로 303-9 ,37.5644485,127.0050323,한파쉼터
광희동 주민센터,서울특별시 중구 퇴계로 303-9 ,37.5644512,127.004986,한파쉼터
을지경로당,서울특별시 중구 을지로 186-14 ,37.5660523,126.9987873,한파쉼터
을지로동 주민센터,서울특별시 중구 충무로9길 20,37.5670184,126.99137,한파쉼터
충무스포츠센터,서울특별시 중구 퇴계로 387,37.5658373,127.0147874,한파쉼터
충무아트센터,서울특별시 중구 퇴계로 387,37.5658373,127.0147874,한파쉼터
신당누리도서관,서울특별시 중구 다산로33길 3,37.5620989,127.0145763,한파쉼터
신당동 주민센터,서울특별시 중구 다산로33길 3,37.562105,127.0145515,한파쉼터
신당경로당,서울특별시 중구 다산로29길 10,37.5610295,127.0134947,한파쉼터
신일경로당,서울특별시 중구 청구로 121,37.5626078,127.0101967,한파쉼터
가온도서관,서울특별시 중구 동호로14길 18,37.5563698,127.0108465,한파쉼터
다산성곽도서관,서울특별시 중구 동호로17길 173,37.5517319,127.0043243,한파쉼터
신당종합사회복지관,서울특별시 중구 동호로11길 22,37.5544522,127.0095547,한파쉼터
다산경로당,서울특별시 중구 동호로12길 97,37.5595449,127.0120608,한파쉼터
장수경로당,서울특별시 중구 동호로11다길 18,37.5519585,127.007057,한파쉼터
충현경로당,서울특별시 중구 동호로17나길 5-4 ,37.5544732,127.0056789,한파쉼터
다산동 주민센터,서울특별시 중구 동호로15길 50,37.5542653,127.0083084,한파쉼터
약수동 커뮤니티센터(악수터),서울특별시 중구 다산로 94,37.5526038,127.0090792,한파쉼터
"중구시설관리공단 , 2층 출입구 휴게공간",서울특별시 중구 동호로8다길 22,37.5522,127.0133663,한파쉼터
남산타운어린이도서관,서울특별시 중구 다산로 32,37.5496,127.0119,한파쉼터
약수노인종합복지관,서울특별시 중구 다산로6길 11,37.5524799,127.0092108,한파쉼터
약수경로당,서울특별시 중구 다산로10길 10-12 ,37.5531516,127.0101447,한파쉼터
동호경로당,서울특별시 중구 동호로8길 42-22 ,37.5524119,127.013025,한파쉼터
약수동주민센터,서울특별시 중구 다산로 92,37.5524756,127.0089583,한파쉼터
청송경로당,서울특별시 중구 청구로1길 23,37.5595366,127.0180876,한파쉼터
삼성경로당,서울특별시 중구 청구로1길 23,37.5581449,127.0178868,한파쉼터
대양경로당,서울특별시 중구 동호로10길 30,37.5548532,127.0147545,한파쉼터
청구동주민센터,서울특별시 중구 청구로3길 55,37.5571022,127.0146791,한파쉼터
청구경로당,서울특별시 중구 청구로3길 69,37.556536,127.0143731,한파쉼터
유락종합사회복지관,서울특별시 중구 퇴계로 460,37.5651315,127.022827,한파쉼터
신당5동주민센터,서울특별시 중구 다산로44길 85,37.5651172,127.0218667,한파쉼터
유락경로당,서울특별시 중구 퇴계로90길 42,37.5634445,127.0216395,한파쉼터
신당5동경로당,서울특별시 중구 다산로42길 53,37.5643603,127.0192147,한파쉼터
어울림도서관,서울특별시 중구 다산로38길 66-35 ,37.5617067,127.0189662,한파쉼터
동화동주민센터,서울특별시 중구 다산로36길 100,37.5599648,127.019399,한파쉼터
동화경로당,서울특별시 중구 청구로 64,37.5604892,127.0166912,한파쉼터
현대아파트경로당,서울특별시 중구 다산로36길 109,37.5599543,127.0213758,한파쉼터
푸르지오경로당,서울특별시 중구 다산로36길 110,37.5592014,127.0195265,한파쉼터
청구e편한세상경로당,서울특별시 중구 청구로 64,37.5604011,127.0166611,한파쉼터
동화동구립경로당,서울특별시 중구 퇴계로80길 52,37.5632367,127.0172988,한파쉼터
황학동주민센터,서울특별시 중구 난계로11길 52,37.5674378,127.0213668,한파쉼터
SH황학롯데캐슬경로당,서울특별시 중구 청계천로 400,37.5710252,127.0212143,한파쉼터
황중경로당,서울특별시 중구 난계로11길 37,37.5666637,127.0217758,한파쉼터
손기정문화체육센터,서울특별시 중구 손기정로 101,37.5559233,126.964559,한파쉼터
손기정어린이도서관,서울특별시 중구 손기정로 101,37.5551649,126.9647557,한파쉼터
손기정문화도서관,서울특별시 중구 손기정로 101,37.5559233,126.964559,한파쉼터
중림종합사회복지관,서울특별시 중구 서소문로6길 16,37.5594606,126.9660708,한파쉼터
