대피소명,주소,위도,경도,유형
범바위 어린이 공원,서울특별시 성북구 고려대로8길 7-2 (안암동2가),37.58539,127.021523,지진대피소
용두희망어린이공원,서울특별시 동대문구 용두동 716-1,37.580078,127.026443,지진대피소
서울지방조달청 테니스장,서울특별시 서초구 반포대로 217(반포동),37.499301,127.002453,지진대피소
사우촌어린이공원,서울특별시 관악구 신림동 1555-1,37.467563,126.934174,지진대피소
태양어린이공원,서울특별시 관악구 신림동 1542-1,37.468497,126.936486,지진대피소
무궁화어린이공원,서울특별시 관악구 신림동 645-1,37.469681,126.923566,지진대피소
누에소공원,서울특별시 서초구 잠원동 160-3,37.50923,127.008449,지진대피소
불암초등학교,서울특별시 노원구 중계로 178(중계동),37.651,127.0804,지진대피소
영신여자고등학교,서울특별시 노원구 중계로16나길 13(중계동),37.6522,127.0829,지진대피소
종암 5-1 어린이 공원,서울특별시 성북구 종암동 134-3,37.599639,127.03663,지진대피소
서울대학교 사범대학 부설 중학교 운동장,서울특별시 성북구 월곡로 36(종암동),37.595804,127.038968,지진대피소
서울대학교 사범대학 부설 고등학교 운동장,서울특별시 성북구 월곡로 6(종암동),37.592727,127.037811,지진대피소
올림픽공원,서울특별시 송파구 올림픽로 424(방이동),37.521353,127.116061,지진대피소
오금공원,서울특별시 송파구 오금로 363(오금동),37.500811,127.131637,지진대피소
중곡초등학교운동장,서울특별시 중랑구 면목로23길 20(면목동),37.574329,127.083592,지진대피소
면남초등학교운동장,서울특별시 중랑구 면목로30나길 38(면목동),37.577507,127.087957,지진대피소
상봉중학교운동장,서울특별시 중랑구 상봉중앙로8나길 28(상봉동),37.601147,127.0905,지진대피소
신묵초등학교운동장,서울특별시 중랑구 묵동 246-12,37.607418,127.07548,지진대피소
개운산 공원,서울특별시 성북구 돈암동 산6-23,37.596533,127.025277,지진대피소
월곡인조잔디구장,서울특별시 성북구 화랑로13길 144(하월곡동),37.608664,127.042328,지진대피소
서경대학교 운동장,서울특별시 성북구 서경로 124(정릉동),37.615409,127.012085,지진대피소
중화초등학교운동장,서울특별시 중랑구 신내로7가길 22(신내동),37.602932,127.094908,지진대피소
용마중학교운동장,서울특별시 중랑구 면목로28길 18(면목동),37.574051,127.085984,지진대피소
벌리어린이공원,서울특별시 강북구 번동 240,37.627576,127.044429,지진대피소
송월어린이공원,서울특별시 강북구 미아동 89-6,37.616101,127.032134,지진대피소
우이초등학교 운동장,서울특별시 강북구 삼양로99길 36(수유동),37.638359,127.014358,지진대피소
동망봉 어린이 공원,서울특별시 성북구 보문사길 30(보문동3가),37.583682,127.016993,지진대피소
홍익대학교 사범대학 부속 중-고등학교 운동장,서울특별시 성북구 성북로14가길 23(성북동),37.594074,127.003655,지진대피소
면목중학교운동장,서울특별시 중랑구 용마산로70길 37(면목동),37.582888,127.095754,지진대피소
독산근린공원,서울특별시 금천구 범안로 1096(독산동),37.4631,126.8847,지진대피소
해태공원,서울특별시 금천구 시흥동 871-24,37.4578,126.9018,지진대피소
진달래공원,서울특별시 금천구 시흥동 970-3,37.4348,126.9049,지진대피소
비둘기공원,서울특별시 금천구 시흥동 947-4,37.4415,126.9062,지진대피소
꾸러기공원,서울특별시 금천구 시흥동 943-16,37.4432,126.9059,지진대피소
서울인수초등학교운동장,서울특별시 강북구 인수봉로 269(수유동),37.642679,127.010237,지진대피소
삼양초등학교 운동장,서울특별시 강북구 삼양로49길 17(미아동),37.623429,127.016787,지진대피소
도하공원,서울특별시 금천구 독산동 1149,37.4587,126.8953,지진대피소
