대피소명,주소,위도,경도,유형
영등포쪽방상담소,서울특별시 영등포구 경인로 829,37.516106,126.905016,무더위쉼터
햇살보금자리응급구호시설(노숙인),서울특별시 영등포구 국회대로54길 41-16 ,37.5220759,126.9104576,무더위쉼터
보현종합지원센터응급구호시설(노숙인),서울특별시 영등포구 버드나루로 24,37.521236,126.912561,무더위쉼터
현대프라자경로당,서울특별시 영등포구 양산로 214,37.522274,126.906952,무더위쉼터
시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22,37.5208612,126.912877,무더위쉼터
영등포동작은도서관,서울특별시 영등포구 국회대로44길 4,37.5253383,126.9036224,무더위쉼터
영등포동주민센터,서울특별시 영등포구 양산로 232,37.5222929,126.9090267,무더위쉼터
구립영중경로당,서울특별시 영등포구 영중로27길 3,37.5241207,126.9047222,무더위쉼터
미성아파트경로당,서울특별시 영등포구 의사당대로 110,37.520653,126.923831,무더위쉼터
여의동작은도서관,서울특별시 영등포구 국제금융로 124,37.5176581,126.9345624,무더위쉼터
여의동주민센터,서울특별시 영등포구 국제금융로 124,37.517634,126.93457,무더위쉼터
구립시범아파트경로당,서울특별시 영등포구 63로 45,37.521072,126.9386154,무더위쉼터
구립광장아파트경로당,서울특별시 영등포구 여의나루로 7,37.5203314,126.9206801,무더위쉼터
동부센트레빌아파트경로당,서울특별시 영등포구 영신로 191,37.524763,126.900828,무더위쉼터
한양아파트경로당,서울특별시 영등포구 영신로 193,37.525197,126.900796,무더위쉼터
쌍용예가아파트경로당,서울특별시 영등포구 당산로31길 32,37.527626,126.893755,무더위쉼터
당산동현대아파트경로당,서울특별시 영등포구 당산로 95,37.524065,126.895271,무더위쉼터
대우아파트경로당,서울특별시 영등포구 영등포로 106,37.521095,126.892975,무더위쉼터
진로아파트경로당,서울특별시 영등포구 당산로 68,37.520665,126.896314,무더위쉼터
당산코오롱아파트경로당,서울특별시 영등포구 영등포로28길 5,37.519963,126.899477,무더위쉼터
신동아파밀리에아파트경로당,서울특별시 영등포구 영신로33길 3,37.519912,126.900464,무더위쉼터
영등포구청본관무더위쉼터,서울특별시 영등포구 당산로 123,37.5263283,126.8959308,무더위쉼터
당산1동작은도서관,서울특별시 영등포구 양산로23길 11,37.525016,126.8974255,무더위쉼터
당산1동주민센터,서울특별시 영등포구 양산로23길 11,37.5251328,126.8972987,무더위쉼터
구립당산3가경로당,서울특별시 영등포구 당산로29길 9,37.526,126.8939,무더위쉼터
구립당산1가경로당,서울특별시 영등포구 영등포로29길 13,37.5221,126.9002,무더위쉼터
구립당산1동경로당,서울특별시 영등포구 영등포로25길 24,37.5231,126.8985,무더위쉼터
SH아파트경로당,서울특별시 영등포구 영신로 183,37.5244939,126.9014215,무더위쉼터
당산2차효성타운아파트경로당,서울특별시 영등포구 당산로42길 7,37.531255,126.900799,무더위쉼터
성원아파트경로당,서울특별시 영등포구 양평로 57,37.534529,126.899648,무더위쉼터
롯데캐슬프레스티지아파트경로당,서울특별시 영등포구 영신로 237,37.528928,126.902516,무더위쉼터
당산강변래미안아파트경로당,서울특별시 영등포구 버드나루로 130,37.529961,126.908164,무더위쉼터
당산효성1차아파트경로당,서울특별시 영등포구 당산로42길 13,37.530765,126.90184,무더위쉼터
삼성2차아파트경로당,서울특별시 영등포구 당산로36길 12,37.527843,126.898307,무더위쉼터
현대3차아파트경로당,서울특별시 영등포구 당산로41길 23,37.530906,126.896097,무더위쉼터
유원제일2차아파트경로당,서울특별시 영등포구 선유동2로 56,37.533492,126.898511,무더위쉼터
당산2동작은도서관,서울특별시 영등포구 당산로41가길 7,37.531098,126.8973788,무더위쉼터
삼성아파트경로당,서울특별시 영등포구 여의대방로 45,37.496474,126.911332,무더위쉼터
우성3차아파트경로당,서울특별시 영등포구 대방천로14길 32,37.498704,126.909937,무더위쉼터
신길6동분회경로당,서울특별시 영등포구 신풍로 96,37.499708,126.916654,무더위쉼터
보라매두산위브아파트경로당,서울특별시 영등포구 여의대방로9길 5,37.497257,126.914529,무더위쉼터
우성2차아파트경로당,서울특별시 영등포구 대방천로 180,37.498227,126.912652,무더위쉼터
구립늘푸른경로당,서울특별시 영등포구 신풍로25길 15-22 ,37.5013738,126.9188985,무더위쉼터
신길6동작은도서관,서울특별시 영등포구 대방천로 167,37.4993371,126.9098763,무더위쉼터
신길6동주민센터,서울특별시 영등포구 대방천로 167,37.4993762,126.9098327,무더위쉼터
구립신길6동경로당,서울특별시 영등포구 대방천로 193,37.499168,126.912418,무더위쉼터
래미안에스티움경로당,서울특별시 영등포구 신풍로 77,37.502185,126.91439,무더위쉼터
삼환아파트경로당,서울특별시 영등포구 여의대방로43라길 9,37.508288,126.919478,무더위쉼터
한성아파트경로당,서울특별시 영등포구 가마산로 575,37.504764,126.919379,무더위쉼터
마을서랍마을도서관,서울특별시 영등포구 여의대방로43길 10,37.5064445,126.9214256,무더위쉼터
