대피소명,주소,위도,경도,유형
CU 논현역드림점,강남구 강남대로 570,37.51284,127.02096,기후동행쉼터
GS25 GS25개포럭키점,강남구 개포로20길 12,37.47794,127.04726,기후동행쉼터
GS25 GS25도곡신호점,"강남구 도곡로 184, 1층 101호",37.49171,127.03974,기후동행쉼터
GS25 GS25역삼홍인점,"강남구 봉은사로30길 43, 지하1층",37.50475,127.03624,기후동행쉼터
CU 타워팰리스점,"강남구 언주로30길 56, 상가시설내 104",37.48863,127.05408,기후동행쉼터
GS25 GS25DXLAB점,"강남구 테헤란로 223, 1층 101호",37.50242,127.04067,기후동행쉼터
CU 역삼점,강남구 테헤란로51길 10,37.50479,127.04699,기후동행쉼터
CU BGF사옥점,강남구 테헤란로63길 9,37.50579,127.05011,기후동행쉼터
GS25 GS25강남동원점,강남구 테헤란로77길 7,37.50693,127.0545,기후동행쉼터
CU 성내시네마점,강동구 올림픽로62길 23 1층 CU,37.53656,127.12415,기후동행쉼터
GS25 GS25발산행복점,"강서구 강서로50길 16, 1층",37.55516,126.83814,기후동행쉼터
GS25 GS25염창행복점,"강서구 공항대로81길 35, 1층 103호",37.54876,126.87598,기후동행쉼터
GS25 GS25강서퍼스트점,"강서구 마곡중앙2로 35, 상가 105호, 106호",37.55799,126.83062,기후동행쉼터
CU 방화리치점,강서구 방화동로 107,37.56996,126.81261,기후동행쉼터
GS25 GS25발산사랑점,"강서구 우장산로2길 21, 1층",37.5538,126.83766,기후동행쉼터
서울특별시교육청학생교육원글로벌문화언어체험교육원(지하1층,"경기도 가평군 가평읍 불기산길 88, 서울특별시학생교육원가평교육원",37.80238,127.47019,민방위대피시설
CU 관악푸른점,관악구 낙성대역길 61,37.47525,126.96249,기후동행쉼터
GS25 GS25더관악점,"관악구 남부순환로 1599-3, 1층",37.48452,126.92826,기후동행쉼터
CU 관악우체국점,관악구 남부순환로187길 9,37.48527,126.93337,기후동행쉼터
CU 관악인헌길점,관악구 인헌12길 42 태양빌라 1층 CU,37.47077,126.96504,기후동행쉼터
CU 자양차이나점,광진구 뚝섬로23가길 17 1층 CU,37.53803,127.0654,기후동행쉼터
GS25 GS25고척사랑점,"구로구 경인로47다길 8, 1층 101호",37.50341,126.86415,기후동행쉼터
CU 상계불암점,노원구 덕릉로94길 21 상계불암대림아파트 1층 CU,37.66355,127.07663,기후동행쉼터
GS25 GS25월계성북역점,노원구 석계로 103,37.62288,127.06072,기후동행쉼터
CU 중계주공3&4단지점,노원구 한글비석로 325 1층 CU,37.65643,127.07772,기후동행쉼터
CU 방학삼익점,도봉구 도당로 36 1층 CU,37.66122,127.03501,기후동행쉼터
CU 도봉무수골점,도봉구 도봉로173길 40,37.67965,127.04153,기후동행쉼터
CU 창동그랜드점,도봉구 해등로 119,37.6542,127.04058,기후동행쉼터
CU 답십리점,동대문구 답십리동 서울시립대로2길 60,37.57254,127.04895,기후동행쉼터
CU 전농우성점,"동대문구 사가정로 190, 상가",37.57808,127.06638,기후동행쉼터
CU 장안관광호텔점,동대문구 천호대로 377,37.56233,127.06099,기후동행쉼터
CU 군자초교점,동대문구 천호대로77길 22 1층 CU,37.56313,127.06139,기후동행쉼터
CU CU상도삼호점,동작구 상도로 407-5 삼호아파트 상가동 지하1층 101호,37.49326,126.95663,기후동행쉼터
CU 마포센트럴점,마포구 대흥로24길 7,37.55447,126.94645,기후동행쉼터
CU 마포아이비점,마포구 서강로 136,37.55411,126.9358,기후동행쉼터
CU 홍대상상점,마포구 잔다리로 25,37.55085,126.92007,기후동행쉼터
CU 서대문센트럴점,서대문구 이화여대8길 62,37.55965,126.9499,기후동행쉼터
GS25 GS25홍은중앙로점,"서대문구 홍은중앙로 115, 1층",37.60073,126.94876,기후동행쉼터
KT olleh plaza 양재점,서울 강남구 남부순환로 2653 kt 양재지점 1층 kt 플라자 양재점,37.48586,127.04033,기후동행쉼터
KT 300텔레콤_대치역점,서울 강남구 남부순환로 2927 대치클래시아 106호,37.49364,127.06038,기후동행쉼터
신한은행 청담동,서울 강남구 도산대로 506,37.52394,127.04824,기후동행쉼터
KT M&S선릉사거리애드샵직영점,서울 강남구 선릉로 515 1층,37.50544,127.04824,기후동행쉼터
신한은행 압구정갤러리아,서울 강남구 압구정로 344,37.5277,127.03985,기후동행쉼터
KT olleh plaza 강남점,서울 강남구 언주로 517 kt 강남지점 1층 kt 플라자 강남점,37.50428,127.04154,기후동행쉼터
신한은행 무역센터금융센터,서울 강남구 영동대로 513,37.51202,127.05904,기후동행쉼터
신한은행 삼성서울병원,서울 강남구 일원로 81,37.48852,127.08667,기후동행쉼터
