대피소명,주소,위도,경도,유형,대피소명_정규
(구)광진구청스마트휴쉼터,서울특별시 광진구 자양로 117,37.53854,127.08313,무더위쉼터,(구)광진구청스마트휴쉼터
(사)대한노인회용산구지회,서울특별시 용산구 임정로 58,37.54505,126.96045,무더위쉼터,(사)대한노인회용산구지회
(이문)현대아파트제2경로당,서울특별시 동대문구 한천로58길 135,37.60229,127.07067,무더위쉼터,(이문)현대아파트제2경로당
(주)대교 지하 1~5층 주차장,서울특별시 관악구 보라매로3길 23 (봉천동),37.49113,126.92559,민방위대피시설,(주)대교지하1~5층주차장
(주)한섬 성내사옥 본관 지하1층,"서울특별시 강동구 강동대로 195 (성내동, 뉴타임빌딩)",37.52446,127.12834,민방위대피시설,(주)한섬성내사옥본관지하1층
100세 건강플러스,서울특별시 강북구 한천로109길 16,37.62892,127.0425,한파쉼터,100세건강플러스
100세건강플러스,서울특별시 강북구 오현로 208,37.62921,127.04291,무더위쉼터,100세건강플러스
1인가구지원센터,서울특별시 성동구 마장로39길 31,37.56811,127.04297,무더위쉼터,1인가구지원센터
1호선 동대문역,,37.57169,127.01093,비상대피시설(지하철역),1호선동대문역
1호선 동묘앞역,,37.5732,127.01648,비상대피시설(지하철역),1호선동묘앞역
1호선 서울역,,37.55623,126.97214,비상대피시설(지하철역),1호선서울역
1호선서울역지하철승강장,"서울특별시 중구 세종대로 지하 2 (남대문로5가, 서울역 1호선)",37.5569,126.97256,민방위대피시설,1호선서울역지하철승강장
1호선 시청역,,37.56571,126.97709,비상대피시설(지하철역),1호선시청역
1호선시청역지하철승강장,"서울특별시 중구 세종대로 지하 101 (정동, 시청역 1호선)",37.56561,126.97694,민방위대피시설,1호선시청역지하철승강장
1호선 신설동역,,37.57605,127.02463,비상대피시설(지하철역),1호선신설동역
1호선 제기동역,,37.5781,127.03489,비상대피시설(지하철역),1호선제기동역
"1호선 제기동역 지하 1층, 2층","서울특별시 동대문구 왕산로 지하 93 (제기동, 제기동역)",37.57856,127.03887,민방위대피시설,"1호선제기동역지하1층,2층"
1호선 종각역,,37.57016,126.98292,비상대피시설(지하철역),1호선종각역
1호선 종로3가역,,37.57041,126.99185,비상대피시설(지하철역),1호선종로3가역
1호선 종로5가역,,37.57093,127.00185,비상대피시설(지하철역),1호선종로5가역
1호선 청량리(서울시립대입구)역,,37.57996,127.04458,비상대피시설(지하철역),1호선청량리(서울시립대입구)역
2001아울렛 지하1층,"서울특별시 노원구 동일로204가길 46, 2001아울렛 (중계동)",37.6413,127.06799,민방위대피시설,2001아울렛지하1층
2단지각심경로당,서울특별시 노원구 초안산로1길 18 (월계주공2단지아파트 관리사무소/경로당),37.62769,127.05238,무더위쉼터,2단지각심경로당
2호선 강남역,,37.49799,127.02791,비상대피시설(지하철역),2호선강남역
2호선 강변(동서울터미널)역,,37.5351,127.09468,비상대피시설(지하철역),2호선강변(동서울터미널)역
2호선 건대입구역,,37.54037,127.06919,비상대피시설(지하철역),2호선건대입구역
2호선 교대(법원.검찰청)역,,37.49396,127.01467,비상대피시설(지하철역),2호선교대(법원.검찰청)역
2호선 구로디지털단지역,,37.48527,126.9014,비상대피시설(지하철역),2호선구로디지털단지역
2호선 구의(광진구청)역,,37.53708,127.08592,비상대피시설(지하철역),2호선구의(광진구청)역
2호선 낙성대역,,37.47693,126.96369,비상대피시설(지하철역),2호선낙성대역
2호선 당산역,,37.53495,126.90277,비상대피시설(지하철역),2호선당산역
2호선 대림(구로구청)역,,37.49324,126.89493,비상대피시설(지하철역),2호선대림(구로구청)역
2호선 도림천역,,37.51429,126.88277,비상대피시설(지하철역),2호선도림천역
2호선 동대문역사문화공원역,,37.56561,127.00905,비상대피시설(지하철역),2호선동대문역사문화공원역
2호선 뚝섬역,,37.54718,127.04737,비상대피시설(지하철역),2호선뚝섬역
2호선 문래역,,37.51793,126.89476,비상대피시설(지하철역),2호선문래역
2호선 방배역,,37.48143,126.9976,비상대피시설(지하철역),2호선방배역
2호선 봉천역,,37.48236,126.94189,비상대피시설(지하철역),2호선봉천역
2호선 사당역,,37.47654,126.98154,비상대피시설(지하철역),2호선사당역
2호선 삼성(무역센터)역,,37.50884,127.06316,비상대피시설(지하철역),2호선삼성(무역센터)역
2호선 상왕십리역,,37.56435,127.02935,비상대피시설(지하철역),2호선상왕십리역
2호선 상왕십리역 지하1층,"서울특별시 성동구 왕십리로 지하 374 (하왕십리동, 상왕십리역)",37.56397,127.02981,민방위대피시설,2호선상왕십리역지하1층
2호선 서울대입구(관악구청)역,,37.48125,126.95274,비상대피시설(지하철역),2호선서울대입구(관악구청)역
