대피소명,주소,위도,경도,유형
수도권 광역급행철도 동탄역,,37.20034,127.09569,비상대피시설(지하철역)
수도권 광역급행철도 구성역,,37.29913,127.10389,비상대피시설(지하철역)
수도권 광역급행철도 성남역,,37.39467,127.12058,비상대피시설(지하철역)
수도권 광역급행철도 수서역,,37.48637,127.10161,비상대피시설(지하철역)
수도권 광역급행철도 삼성역,,37.50887,127.06324,비상대피시설(지하철역)
수도권 광역급행철도 서울역,,37.55569,126.97296,비상대피시설(지하철역)
수도권 광역급행철도 연신내역,,37.61878,126.9213,비상대피시설(지하철역)
수도권 광역급행철도 대곡역,,37.63191,126.81113,비상대피시설(지하철역)
수도권 광역급행철도 킨텍스역,,37.66532,126.74843,비상대피시설(지하철역)
수도권 광역급행철도 운정역,,37.71614,126.72841,비상대피시설(지하철역)
김포골드라인 김포공항역,,37.56236,126.801868,비상대피시설(지하철역)
김포골드라인 고촌역,,37.601243,126.770345,비상대피시설(지하철역)
김포골드라인 풍무역,,37.612488,126.732387,비상대피시설(지하철역)
김포골드라인 사우(김포시청)역,,37.620249,126.719731,비상대피시설(지하철역)
김포골드라인 걸포북변역,,37.63165,126.705975,비상대피시설(지하철역)
김포골드라인 운양역,,37.653867,126.68393,비상대피시설(지하철역)
김포골드라인 장기역,,37.643986,126.669017,비상대피시설(지하철역)
김포골드라인 마산역,,37.640732,126.644344,비상대피시설(지하철역)
김포골드라인 구래역,,37.645384,126.628633,비상대피시설(지하철역)
김포골드라인 양촌역,,37.642379,126.614309,비상대피시설(지하철역)
서해선 원시역,,37.302371,126.786691,비상대피시설(지하철역)
서해선 원곡역,,37.31321,126.796261,비상대피시설(지하철역)
서해선 초지역,,37.319619,126.808147,비상대피시설(지하철역)
서해선 선부역,,37.334353,126.809904,비상대피시설(지하철역)
서해선 달미역,,37.348847,126.809409,비상대피시설(지하철역)
서해선 시흥능곡역,,37.369864,126.808573,비상대피시설(지하철역)
서해선 시흥시청역,,37.382223,126.805625,비상대피시설(지하철역)
서해선 신현역,,37.409008,126.788017,비상대피시설(지하철역)
서해선 신천역,,37.439066,126.786788,비상대피시설(지하철역)
서해선 시흥대야역,,37.450145,126.793041,비상대피시설(지하철역)
서해선 소새울역,,37.468467,126.797252,비상대피시설(지하철역)
서해선 소사역,,37.483279,126.795023,비상대피시설(지하철역)
우이신설선 신설동역,,37.576095,127.023242,비상대피시설(지하철역)
우이신설선 보문역,,37.585286,127.019381,비상대피시설(지하철역)
우이신설선 성신여대입구(돈암)역,,37.592467,127.016516,비상대피시설(지하철역)
우이신설선 정릉역,,37.603133,127.013396,비상대피시설(지하철역)
우이신설선 북한산보국문역,,37.612072,127.008251,비상대피시설(지하철역)
우이신설선 솔샘역,,37.620238,127.013626,비상대피시설(지하철역)
우이신설선 삼양사거리역,,37.621337,127.020473,비상대피시설(지하철역)
우이신설선 삼양역,,37.626914,127.018106,비상대피시설(지하철역)
우이신설선 화계역,,37.634133,127.017511,비상대피시설(지하철역)
우이신설선 가오리역,,37.641537,127.016789,비상대피시설(지하철역)
우이신설선 4.19민주묘지역,,37.649502,127.013684,비상대피시설(지하철역)
우이신설선 솔밭공원역,,37.65603,127.013273,비상대피시설(지하철역)
우이신설선 북한산우이역,,37.662909,127.012706,비상대피시설(지하철역)
의정부선 탑석역,,37.733579,127.088704,비상대피시설(지하철역)
의정부선 송산역,,37.737279,127.087159,비상대피시설(지하철역)
의정부선 어룡역,,37.742802,127.085035,비상대피시설(지하철역)
의정부선 곤제역,,37.750471,127.083715,비상대피시설(지하철역)
